TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
94	JailBreakEnterLocation		你进入了%1s	You enter the %1s	Você entrou no %1s	You enter the %1s	%1s에 진입하였습니다	Sie haben %1s eingehen	▢FF0000FFVous êtes entré dans ▢FFFF0000%1s	Entraste a %1s	Hai inserito %1s	Anda masuk %1s	You enter the %1s	%1s' lere girdiğiniz	Bạn đã tham gia %1s	You enter the %1s
95	JailBreakQuitLocation		你离开了%1s	You left the %1s	Você saiu do %1s	You left the %1s	%1s 이탈하였습니다.	Sie haben %1s verlassen	▢FF0000FFVous avez quitté ▢FFFF0000%1s	Te fuiste de %1s	Hai lasciato %1s	Anda meninggalkan %1s	You left the %1s	%1s bıraktın	Bạn đã rời khỏi %1s	You left the %1s
96	JailBreakShowPoliceInfo		▢FF0000FF功勋值： %1s	▢FF0000FFMerit ： %1s	▢FF0000FFMérito  %1s	▢FF0000FFMerit  %1s	공훈값: %1s	▢FF0000FFVerdienstwert %1s	▢FF0000FFNombre de mérites: ▢FFFF0000%1s	▢FF0000FFValor de mérito  %1s	▢FF0000FFValore di merito  %1s	▢FF0000FFNilai prestasi %1s	▢FF0000FFMerit ： %1s	▢FF0000FFBaşarı değeri: %1s	▢FF0000FFGiá trị công trạng  %1s	▢FF0000FFMerit ： %1s
97	JailBreakShowCriminalInfo		▢FFFF0000威胁值： %1s	▢FFFF0000Threat ： %1s	▢FFFF0000Ameaça  %1s	▢FFFF0000Threat  %1s	협박값: %1s	▢FFFF0000Bedrohungswert %1s	▢FF0000FFNombre de menaces:▢FFFF0000%1s	▢FFFF0000Valor de la amenaza  %1s	▢FFFF0000Valore della minaccia  %1s	▢FFFF0000Nilai ancaman %1s	▢FFFF0000Threat ： %1s	▢FFFF0000Tehdit değeri: %1s	▢FFFF0000Giá trị uy hiếp  %1s	▢FFFF0000Threat ： %1s
98	JailBreakGameName	越狱	越狱	Jail Break	Fuga de presos	JailBreak	Jail Break	Jail break	Jail Break	Jail Break	Jail Break	Jail break	Jail Break	Jail Break	Jail Break	JailBreak
99	JailBreakOpenCheck		%1s▢FFFFFFFF被抢劫了，请迅速出警	A criminal case occurred in %1s	Um caso criminal ocorreu em %1s	A criminal case occurred in %1s	%1s 강탈당했습니다. 즉시 출두하기 바랍니다	%1s▢FFFFFFFF wurde ausgeraubt, bitte schnell gehen	%1s▢FFFFFFFF a été volé, veuillez rapidement contacter la police	%1s▢FFFFFFFF fue robado, por favor, interviene rápidamente la policía	%1s▢FFFFFFFF è stato derubato, per favore rapidamente fuori dalla polizia	%1s▢FFFFFFFF dirampok, tolong cepat keluarkan polisi	A criminal case occurred in %1s	%1s▢FFFFFFFF soyuldu, lütfen hemen polis karakolundan çıkın.	%1s▢FFFFFFFF đã bị cướp, cảnh sát xuất phát ngay	A criminal case occurred in %1s
100	JailBreakCaptureCriminal		%1s▢FFFFFFFF被逮捕了	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFfoi preso	%1s▢FFFFFFFFwas under arrest	%1s체포되었습니다	%1s▢FFFFFFFF wurde verhaftet	%1s▢FFFFFFFF a été arrêté	%1s▢FFFFFFFF fue arrestado	%1s▢FFFFFFFF è stato arrestato	%1s▢FFFFFFFF ditangkap	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFF tutuklandı.	%1s▢FFFFFFFF đã bị bắt giữ	%1s▢FFFFFFFFwas under arrest
101	JailBreakKillCriminal		%1s▢FFFFFFFF被击毙了	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFfoi morto a tiros	%1s▢FFFFFFFFwas shot to death	%1s 사살되었습니다	%1s▢FFFFFFFF wurde getötet	%1s▢FFFFFFFF a été tué 	%1s▢FFFFFFFF fue asesinado	%1s▢FFFFFFFF è stato ucciso	%1s▢FFFFFFFF terbunuh	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFF öldürüldü.	%1s▢FFFFFFFF đã bị bắn chết	%1s▢FFFFFFFFwas shot to death
102	JailBreakKillPolice		%1s▢FFFFFFFF因公殉职	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFFfoi morto enquanto estava de plantão	%1s▢FFFFFFFFdies while on duty	%1s 순직하였습니다	%1s▢FFFFFFFF ist im Dienst gestorben	%1s▢FFFFFFFF est mort en service	%1s▢FFFFFFFF murió de servicio	%1s▢FFFFFFFF è morto in servizio	%1s▢FFFFFFFF meninggal saat bertugas	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFF görevde öldü.	%1s▢FFFFFFFF hi sinh khi làm nhiệm vụ	%1s▢FFFFFFFFdies while on duty
103	JailBreakOpenDoor		%1s▢FFFFFFFF被抢劫了，请迅速出警	%1s was robbed by criminal	%1s foi roubado por criminosos	%1s was robbed by criminal	%1s 강탈당했습니다. 즉시 출두하기 바랍니다.	%1s▢FFFFFFFF wurde ausgeraubt, bitte schnell gehen	%1s▢FFFFFFFF a été volé, veuillez rapidement contacter la police	%1s▢FFFFFFFF fue robado, por favor, interviene rápidamente la policía	%1s▢FFFFFFFF è stato derubato, per favore rapidamente fuori dalla polizia	%1s▢FFFFFFFF dirampok, tolong cepat keluarkan polisi	%1s was robbed by criminal	%1s▢FFFFFFFF soyuldu, lütfen hemen polis karakolundan çıkın.	%1s▢FFFFFFFF đã bị cướp, cảnh sát xuất phát ngay	%1s was robbed by criminal
104	JailBreakBankChest		银行保险柜	Bank Chest	Cofre do Banco	BankChest	은행 금고	Bank Safe	Coffre-fort de la banque	Cajas fuertes de banco	Cassaforte dell banca	Brankas bank	BankChest	Banka güvenlik kasası	Tủ bảo hiểm ngân hàng	BankChest
105	JailBreakJewelryChest		珠宝店保险柜	Jewelry Chest	Cofre da Joalheria	JewelryChest	보석매장 금고	Schmuckgeschäft Safe	Coffre-fort de la bijouterie	Cajas fuertes de tienda de joyas 	Cassaforte della gioielleria	Brankas toko perhiasan 	JewelryChest	Kuyumcu güvenlik kasası	Tủ bảo hiểm cửa hàng Châu báu	JewelryChest
106	JailBreakHospitalChest		医院保险柜	Hospital Chest	Cofre do Hospital 	HospitalChest	병원 금고	Krankenhaus Safe	Coffre-fort de l'hôpital	Cajas fuertes de hospital	Cassaforte dell'Ospedale 	Brankas Rumah Sakit 	HospitalChest	Hastane güvenlik kasası	Tủ bảo hiểm y tế	HospitalChest
107	JailBreakBreadChest_C		生活区面包店保险柜	Rio-District Bread Chest	Rio-District BreadChest	JailBreakBreadChest_C	생활구역 빵집 금고	Bäckerei Safe im Wohnbereich Safe 	Coffre-fort de la boulangerie du quartier d'habitations	Cajas fuertes de panadería del distrito social	Cassaforte della panetteria in quartiere di vita 	Brankas toko roti daerah hidup	JailBreakBreadChest_C	Yaşam Alanı Fırın güvenlik kasası	Tủ bảo hiểm cửa hàng bánh mì khu sinh hoạt	JailBreakBreadChest_C
108	A-District		金融区	Manhattan-District	Manhattan-District	Manhattan-District	금융구역	Financial District	Quartier financier	Distrito Financiero	Quartiere finanziario	Distrik keuangan	Manhattan-District	Finansal bölge	Khu tài chính	Manhattan-District
109	B-District		黑市	Black Market	Mercado negro	BlackMarket	블랙마켓	Schwarzmarkt	Marché noir	Mercado negro	Mercato nero	Pasar gelap	BlackMarket	Karaborsa	Chợ đen	BlackMarket
110	C-District		生活区	Rio-District	Distrito-Rio	Rio-District	생활구역	Wohnbereich	Quartier d'habitations	Distrito social	Quartiere di vita 	Living area	Rio-District	Yaşam alanı	Khu sinh hoạt	Rio-District
111	Police		警局	Police Station	Delegacia de polícia	PoliceStation	경찰국	Polizeistation	Poste de police	Comisaría	Stazione di polizia	Kantor polisi	PoliceStation	Polis istasyonu	Đồn cảnh sát	PoliceStation
112	TheRingStrasse_N_1		环城大道北1街	TheRingStrasse_N_1	The Ring Strasse_N_1	TheRingStrasse_N_1	환성대로북1길	Ringstraße Nord 1st Street	1ère Rue de l'Avenue Huan Cheng Nord	Avenida alrededor de la ciudad Calle Norte 1	Ring Road, North 1 Street	Ring Road North 1 Street	TheRingStrasse_N_1	Çevre Yolu Kuzey 1 Sokak	Đường 1 Bắc Đại lộ Vành đai	TheRingStrasse_N_1
113	TheRingStrasse_N_2		环城大道北2街	TheRingStrasse_N_2	The Ring Strasse_N_2	TheRingStrasse_N_2	환성대로북2길	Ringstraße Nord 2st Street	2ème Rue de l'Avenue Huan Cheng Nord	Avenida alrededor de la ciudad Calle Norte 2	Ring Road, North 2nd Street	Ring Road North 2 Street	TheRingStrasse_N_2	Çevre Yolu Kuzey 2 Sokak	Đường 2 Bắc Đại lộ Vành đai	TheRingStrasse_N_2
114	TheRingStrasse_E_1		环城大道东1街	TheRingStrasse_E_1	The Ring Strasse_E_1	TheRingStrasse_E_1	환성대로동1길	Ringstraße East 1 Street	1ère Rue de l'Avenue Huan Cheng Est	Avenida alrededor de la ciudad Calle Este 1	Ring Road, East 1 Street	Ring Road East 1 Street	TheRingStrasse_E_1	Çevre Yolu Doğu 1 Sokak	Đường 1 Đông Đại lộ Vành đai	TheRingStrasse_E_1
115	TheRingStrasse_E_2		环城大道东2街	TheRingStrasse_E_2	The Ring Strasse_E_2	TheRingStrasse_E_2	환성대로동2길	Ringstraße East 2 Street	2ème Rue de l'Avenue Huan Cheng Est	Avenida alrededor de la ciudad Calle Este 2	Ring Road, East 2 Street	Ring Road East 2 Street	TheRingStrasse_E_2	Çevre Yolu Doğu 2 Sokak	Đường 2 Đông Đại lộ Vành đai	TheRingStrasse_E_2
116	TheRingStrasse_W_1		环城大道西1街	TheRingStrasse_W_1	The Ring Strasse_W_1	TheRingStrasse_W_1	환성대로서1길	Ringstraße West 1 Straße 	1ère Rue de l'Avenue Huan Cheng Ouest	Avenida alrededor de la ciudad Calle Oeste 1	Ring Road, West 1st Street	Ring Road West 1 Street	TheRingStrasse_W_1	Çevre Yolu Batı 1 Sokak	Đường 1 Tây Đại lộ Vành đai	TheRingStrasse_W_1
117	TheRingStrasse_W_2		环城大道西2街	TheRingStrasse_W_2	The Ring Strasse_W_2	TheRingStrasse_W_2	환성대로서2길	Ringstraße West 2 Straße 	2ème Rue de l'Avenue Huan Cheng Ouest	Avenida alrededor de la ciudad Calle Oeste 2	Ring Road, West 2 Street	Ring Road West 2 Street	TheRingStrasse_W_2	Çevre Yolu Batı 2 Sokak	Đường 2 Tây Đại lộ Vành đai	TheRingStrasse_W_2
118	TheRingStrasse_S_1		环城大道南1街	TheRingStrasse_S_1	The Ring Strasse_S_1	TheRingStrasse_S_1	환성대로남1길	Ringstraße Süden 1 Straße	1ère Rue de l'Avenue Huan Cheng Sud	Avenida alrededor de la ciudad Calle Sur 1	Ring Road, South 1 Street	Ring Road South 1 Street	TheRingStrasse_S_1	Çevre Yolu Güney 1 Sokak	Đường 1 Nam Đại lộ Vành đai	TheRingStrasse_S_1
119	TheRingStrasse_S_2		环城大道南2街	TheRingStrasse_S_2	The Ring Strasse_S_2	TheRingStrasse_S_2	환성대로남2길	Ringstraße Süden 2 Straße	2ème Rue de l'Avenue Huan Cheng Sud	Avenida alrededor de la ciudad Calle Sur 2	Ring Road, South 2 Street	Ring Road South 2 Street	TheRingStrasse_S_2	Çevre Yolu Güney 2 Sokak	Đường 2 Nam Đại lộ Vành đai	TheRingStrasse_S_2
120	CentralStreet_1		中央大道1街	CentralStreet_1	Central Street_1	CentralStreet_1	중앙대로1길	Central Avenue, 1. Straße	1ère Rue de l'Avenue Centrale	Avenida central Calle 1	Central Avenue, 1st Street	Central Avenue 1 Street	CentralStreet_1	Merkez Cadde 1 Sokak	Đường 1 Đại lộ Trung Tâm	CentralStreet_1
121	CentralStreet_2		中央大道2街	CentralStreet_2	Central Street_2	CentralStreet_2	중앙대로2길	Central Avenue, 2. Straße	2ème Rue de l'Avenue Centrale	Avenida central Calle 2	Central Avenue, 2nd Street	Central Avenue 2 Street	CentralStreet_2	Merkez Cadde 2 Sokak	Đường 2 Đại lộ Trung Tâm	CentralStreet_2
122	CentralStreet_3		中央大道3街	CentralStreet_3	Central Street_3	CentralStreet_3	중앙대로3길	Central Avenue, 3. Straße	3ème Rue de l'Avenue Centrale	Avenida central Calle 3	Central Avenue, 3rd Street	Central Avenue 3 Street	CentralStreet_3	Merkez Cadde 3 Sokak	Đường 3 Đại lộ Trung Tâm	CentralStreet_3
123	CentralStreet_4		中央大道4街	CentralStreet_4	Central Street_4	CentralStreet_4	중앙대로4길	Central Avenue, 4. Straße	4ème Rue de l'Avenue Centrale	Avenida central Calle 4	Central Avenue, 4th Street	Central Avenue 4 Street	CentralStreet_4	Merkez Cadde 4 Sokak	Đường 4 Đại lộ Trung Tâm	CentralStreet_4
124	Central-District		中央区	Central-District	Distrito-Central	Central-District	중앙구역	Zentraler Bezirk	Quartier central	Distrito Central	Distretto Centrale	Distrik Pusat	Central-District	Merkez Bölge	Khu trung tâm	Central-District
125	Prisons		监狱	Prisons	Prisão	Prisons	감옥 	Gefängnis	Prison	Prisión	Prigione	Jailbreak	Prisons	Hapishane	Nhà tù	Prisons
126	JailBreakBreadChest_A		金融区面包店保险柜	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	금융구역,빵집 금고	Bäckerei Safe im Financial District	Coffre-fort de la boulangerie du quartier financier	Cajas fuertes de panadería del distrito financiero	Cassaforte della panetteria in quartiere finanziario	Brankas toko roti daerah hidup	Manhattan’s_BreadCheat	Finansal bölge Fırın güvenlik kasası	Tủ bảo hiểm cửa hàng bánh mì khu tài chính	Manhattan’s_BreadCheat
127	JailBreakPoliceChest		警察局箱子	Chest in Ploice Station	Cofre na delegacia de polícia	Chest in Ploice Station	경찰국 박스	Der Koffer in Polizeistation	Coffre de police	Caja de la comisaría	Scatola di polizia	Kotak kantor polisi	Chest in Ploice Station	Polis karakolu kutusu	Rương đồn cảnh sát	Chest in Ploice Station
128	JailBreakPoliceKillPrisoner		▢FFFF0000警察杀死未犯罪囚犯会受到惩罚	▢FFFF0000Police will be punished while killing innocent	▢FFFF0000A policia será punida de matar um inocente	▢FFFF0000Police will be punished while killing innocent	▢FFFF0000경찰이 범죄를 범하지 않은 수감자를 살해할 경우 처벌을 받습니다	▢FFFF0000Wenn die Polizei Gefangene tötet wurden, die nicht gesündigt haben, wurden sie bestraft	▢FFFF0000Les policiers qui tuent des prisonniers qui ne sont pas des criminels seront punis	▢FFFF0000La policía mata a prisioneros que no son criminales serán castigados	▢FFFF0000La polizia uccide i prigionieri che non sono criminali sarà punita	▢FFFF0000Polisi membunuh tahanan yang bukan penjahat akan dihukum	▢FFFF0000Police will be punished while killing innocent	▢FFFF0000Suçlu olmayan mahkumları öldüren polisler cezalandırılacaktır.	▢FFFF0000Cảnh sát giết chết các tù nhân không phải là tội phạm sẽ bị trừng phạt	▢FFFF0000Police will be punished while killing innocent
129	JailBreakPoliceRob		▢FFFF0000警察抢劫会受到惩罚	▢FFFF0000Police will be punished while robbing	▢FFFF0000A policia será punida se roubar	▢FFFF0000Police will be punished while robbing	▢FFFF0000경찰이 강탈할 경우 처벌을 받습니다	▢FFFF0000Wenn die Polizei ausgeraubt wurde, wurden sie bestraft	▢FFFF0000Les policiers qui volent seront punis	▢FFFF0000La policía que roba será castigado	▢FFFF0000La rapina della polizia sarà punita	▢FFFF0000Polisi merampok akan dihukum	▢FFFF0000Police will be punished while robbing	▢FFFF0000Polis soygunu cezalandırılacaktır.	▢FFFF0000Cảnh sát cướp sẽ bị trừng phạt	▢FFFF0000Police will be punished while robbing
130	 ZombieHunterMsgToSoilderStart		▢FF0000FF你将会在5秒后转换成僵尸猎手，请做好准备	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFVocê vai se torna Caçador de Zombies, Prepare-se 	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared
131	ZombieHunterMsgToZombieStart		▢FF0000FF僵尸猎手即将出现，准备围攻	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFEsteja preparado, Você é Caçador de Zombies	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!
132	ZombieHunterMsgToSoilderEnd		▢FF0000FF你已重装上阵，开始反击	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFVocê esta mais forte! acabe com eles!!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!
133	ZombieHunterMsgToZombieEnd		▢FF0000FF僵尸猎手出现了	▢FF0000FFZombie Hunter showed up!	▢FF0000FFO Caçador de Zombies Apareceu!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!
134	SandDigger		夺宝奇兵	Treasure Hunter	Caçador de tesouros	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter
135	SandDiggerBreakDown		矿井还有▢FFFF0000%1s秒▢FFFFFFFF崩塌	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	A mina entrará em ▢FFFFFFFFcolapso in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s
136	SandDiggerOpenChest		▢FF0000FF%1s▢FFFFFFFF打开了%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFserá aberto%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s
137	SandDiggerDeep		深度 - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Profundidade - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000
138	SandDiggerDeepAndHp		深度 - ▢FF0000FF %1s ▢FFFFFFFF/ 生命值 - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Profundidade - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s
139	SandDiggerChestName1		普通宝箱	Normal Chest	Baú Normal	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Normal Chest
140	SandDiggerChestName2		铁质宝箱	Iron Chest	Baú de Ferro	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Iron Chest
141	SandDiggerChestName3		银宝箱	Silver Chest	Baú de Prata	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Silver Chest
142	SandDiggerChestName4		金宝箱	Gold Chest	Baú de Ouro	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Gold Chest
143	RespawnMsg		%1s▢FF00FFFF复活了。▥	%1s▢FF00FFFF revived.▥	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.	%1s▢FF00FFFF revived.
